id	en	ms
98	Well, stay away from her or I'll stuff a mattress with you	Well, menjauh dari dia atau kubikin jadi kasur
99	Is my credit good enough to buy you out	Kredit aku cukup bagus untuk membeli bahagian kau
100	You can call it the art of fighting without fighting	Kau boleh panggil dgn seni berlawan tanpa berlawan
101	We figure that entertainment would draw gamblers to the casino	Kami fikir hiburan akan jadi faktor utama menarik penjudi ke kasino
102	Don't look anybody in the eye, but don't look away either	Jangan tatap orang langsung di mata, tapi jangan pula berpaling
103	But now it's all over. And we all live in simple peace and harmony	Tetapi itu semua sudah lepas, dan kami semua hidup dalam aman harmoni
104	For centuries now the code of the Shaolin Temple has been preserved	Pada zaman sekarang Kanun Shaolin Temple masih dikekalkan
105	OK, Colonel, now you've got us all scared to death. What do you and the Special Forces think I oughta do about your psycho out there	Sekarang kami dah takut, apa yang awak dan pasukan khas cadang apa yang patut kami buat dengan Rambo
106	According to Dr. Hasslein's theory of time in a vehicle traveling nearly the speed of light, the Earth has aged nearly 700 years since we left it, while we've aged hardly at all	Menurut teori Dr. Hasslein masa dalam kendaraan yang berjalan hampir mendekati kepantasan cahaya Bumi hampir berumur 700 tahun semenjak kami meninggalkannya sementara kami hampir tidak bertambah usia sama sekali
107	Soon I'II have no place to hang my hat	Nanti aku tak boleh taruh topi lagi di Brooklyn
108	That's bad luck for me, and bad luck for you if you don't make that deal	Jahanam bagi aku dan bagi kau jika perjanjian itu tak berjaya
109	I see him over there, I'll get him, I'll get him	Saya nampak dia! - Saya akan dapatkan dia
110	We have here a witness that will further testify to Michael Corleone's rule of a criminal empire that controls all gambling	Di sini ada seorang saksi yang akan bersaksi lebih lanjut pasal kuasa Michael Corleone atas kerajaan jenayah yang kendalikan semua perjudian
111	Like they should have stopped HitIer in Munich, not letting him get away with it	Sepatutnya dia tak dibiarkan, mereka yang cari angkara
112	I dug our cabbage patch all up but there weren't any babies or any angels	Aku punya spade dan menggali kubis patch kita semuanya. Tapi tak ada bayi atau malaikat
113	Because God knows what damage he's prepared to do	Tuhan tahu apa kerosakan yang akan dia lakukan
114	Hey, Preston, don't forget to get him behind the ears	Hei, Preston, basuh juga di belakang telinga dia
115	Toto, I have a feeling we're not in Kansas anymore	Toto, aku merasa kita tidak lagi di Kansas
116	Just rumors. I hear he likes to live big	Aku dengar dia suka tinggal tempat yg besar
117	First thing you know we got a whole bunch of guys like you in this town. That's why	Sebelum awak tahu ada banyak orang awak di sini
118	Besides, I'm in charge and I say we blow it up	Saya berkuasa di sini dan saya yang berkata tembak
119	I have, uh, come to you from a planet in a different solar system	Aku datang ke tempat kamu dari planet di tata surya yang berbeza
120	We believe he selects attractive girls methodically builds their dependence on drugs then sells them to an elite clientele around the world	Kami percaya dia memilih gadis yg menawan dan merancang dgn tersusun menggunakan dadah kemudian menjual mereka kpd golongan elit diserata dunia
121	Why didn't we spend time like this before	Kenapa kita tak habiskan masa seperti ini sebelum ni
122	The human specimen you saw outside suffered a skull fracture in the course of the hunt	Contoh manusia yang Anda lihat di luar mengalami retak di tengkorak selama perburuan berlangsung
123	I don't like to see you come out to this clean country in oily hair dressed up in those silk suits and try to pass yourselves off as decent Americans	Aku tak suka lihat kamu pergi ke negeri ini dengan rambut berminyak pakai sut dari sutera dan cuba berlagak seperti orang Amerika yang terhormat
124	Among all the Shaolin men I have taught there is one who has turned the ways of knowledge and strength to his own base ends	Diantara murid yg pernah saya ajar telah mengubah segala ilmu dan kekuatan mengikut caranya sendiri
125	# You're upset, you're worn out, go inside, go lie down	Awak kecewa, awak penat Masuklah kebilik, dan baring
126	But he thinks he'll live forever and wants me out	Namun fikirnya dia akan hidup selamanya dan mahu menyingkirkan aku
127	Sha. Now, tell me what you dreamt and I'll tell you what it meant	Sekarang, beritahu saya mimpi awak, dan saya akan terjemahkannya
128	And who will make this miracle to come to pass? Ordinary people	Dan siapa pula yang akan pastikan keajaiban ini berlaku
129	Signora Colombo, why did you come to see me	Puan Colombo, kenapa kau datang berjumpa dengan aku
130	He lives like a king on that island, totally self-sufficient	Dia hidup macam Raja di pulau tu, lengkap serba serbi
131	I didn't ask who gave the order, because it had nothing to do with business	aku tak bertanya siapa yang memberi perintah, kerana itu tak ada hubungannya dengan bisnes
132	People don't pay on time, don't pay the full amount	Orang-orang tak deposit tepat pada masa dan tak secara penuh
133	This is the same genuine, magic, authentic crystal used by the priests of Isis and Osiris in the days of the pharaohs of Egypt in which Cleopatra first saw the approach of Julius Caesar and Mark Anthony and and so on and so on	Ini adalah kristal yang asli, ajaib, sejati yang pernah dipakai pendeta Isis dan Osiris di jaman Firaun di Mesir di mana ratu Cleopatra, melihat kedatangan Julius Caesar dan Markus Anthonius dan lain-lain
134	If you have anything to say, say it to michael	Bila kau nak katakan sesuatu, katakan pada Michael saja
135	Senator Geary flies in from Washington tomorrow with some government people	Senator Geary akan terbang dari Washington esok dengan beberapa orang pemerintahan
136	I stepped on one of those fish that looks like a rock	Aku melangkah di salah satu ikan yang tampak seperti batu
137	TattagIia lost a son, and I lost a son	Tattaglia kehilangan seorang anak lelaki, aku kehilangan seorang anak lelaki
138	I can't get it out of my head. It was seven years	Saya masih ingat dengan jelas Peristiwa tujuh tahun yang lalu
139	When Frankie went to make a deal with the Rosato brothers they tried to kill him	Saat Frankie buat perjanjian dengan Rosato bersaudara mereka cuba membunuhnya
140	And you? You, who have known us all your life, you'd carry out this order? I've nothing to do with it	Dan tuan, awak dah lama kenal kami, sanggup jalankan arahan ini
141	There's a plane waiting to take us to Miami in an hour	Ada pesawat menunggu untuk terbangkan kita ke Miami sejam lagi
142	Is there anything you can tell me about this investigation	Ada yang boleh kau katakan pasal siasatan ini
143	Things between men and women will not change	Hal-hal di antara lelaki dan perempuan tak akan berubah
144	Because from the time of Christopher Columbus to the time of Enrico Fermi to the present day	Kerana semenjak zaman Christopher sampai zaman Enrico Fermi hingga saat sekarang ini
145	I don't think there's anything in that black bag for me	Aku tak tahu punya apa di poket hitamku untuknya
146	A man sends you an important a message, at least you can talk to him	Amin. Seseorang hantar pesanan penting, sekurang-kurangnya awak pergilah berbincang dengannya
147	White Glove, who specialized in diamonds and gold	Sarung tangan Putih, yang mahir dalam berlian dan emas
148	These rags he's wearing give off a stench that's offensive to the dignity of this tribunal	Kain busuk yang dikenakannya itu menghina martabat mahkamah ini
149	He's a friend of mine Well in fact, he wrote his address downright here	Dia kawan saya, dia menulis sendiri alamat ini untuk saya
150	I'm putting you on a plane to Vegas	Akan aku kirim kau ke Vegas dengan pesawat
151	Why do fish stop swimming and lie on top of the pools after a heavy rain	Mengapa ikan berhenti berenang dan berbaring di atas kolam pasang selepas hujan
152	No, I wouldn't like you better if you were Ingrid Bergman	Aku takkan lebih suka jika kau Ingrid Bergman
153	Clemenza promised the Rosato brothers three territories after he died	Clemenza menjanjikan tiga wilayah pada Rosato bersaudara setelah meninggal
154	If you're listening, Rambo, here's your situation: you are surrounded	Jika awak sedang dengar, ini adalah situasi awak sekarang..awak sudah dikepung
155	But not before I discovered evidence of a simian culture that existed long before the sacred scrolls were written	Tapi tidak sebelum aku temui bukti peradaban kera yang ada jauh sebelum golongan suci itu ditulis
156	And I'm not going to leave here ever, ever again, because I love you all	Dan aku takkan pernah pergi lagi, kerana aku sayang pada kamu semua
157	Some apes, it seems, are more equal than others	Rupanya ada sebahagian kera yang lebih bermartabat dibanding yang lainnya
158	Only an apostate would flee to the forbidden zone	Hanya pembangkang saja yang akan pergi ke kawasan larangan
159	Apart from that you look pretty chipper for a man who's 2,031 years old	Selain itu, kau nampak sangat bugar bagi lelaki yang berumur 2.031 tahun
160	And you have your eye on the rabbi's son. Why not	Dan awak pula suka pandang anak lelaki rabbi
161	And I sent Fredo to Las Vegas, under the protection of Don Francesco of L.A	Aku hantar Fredo ke Las Vegas, di bawah perlindungan Don Francesco di L.A
162	Our forefathers have been forced out of many, many places at a moment's notice	Nenek moyang kita juga pernah dihalau keluar dari banyak tempat
163	These things must be done delicately or you hurt the spell	Harus dilakukan dengan lembut ataupun kau merosakkan mantranya
164	A police captain is on call 24 hours a day	Kapten polis perlu boleh dihubungi 24 jam sehari
165	I said no. Reb Tevye, we are not asking for your permission	Reb Tevye, kami tidak minta persetujuan kamu, cuma minta restu
166	Do you think I'd make my sister a widow	Kau rasa aku akan biarkan Connie jadi janda
167	Sometime soon this district is to have a little unofficial demonstration	Dan beritanya? Kami telah menerima arahan yang tak lama lagi daerah ini perlu adakan sebuah demonstrasi tidak rasmi
168	# At least with Tzeitel and Motel they asked me, they begged me	Sekurang-kurangnya Tzeitel dan Motel Mereka minta izin, mereka merayu
169	Back there I could fly a gunship, I could drive a tank, I was in charge of a million dollar equipment	Di sana saya ada helikopter, kereta kebal, memiliki peralatan bernilai jutaan dollar
170	I'll ask you to reconsider the rash course you've undertaken	Akan aku minta kamu pertimbangkan lagi jalan yang telah kamu tempuh
171	All right, Steve. - Yo! I want you and Bruce, head around these trees, go to the front of that mine	Steve,awak dan Bruce.Awak pergi keliling pokok untuk ke pintu masuk lombong itu
172	Is that why you slapped my brother around in public	Kerana itu kau tampar abang aku depan awam
173	Why didn't you say you work for CorIeone	Kenapa tak cakap kau bekerja untuk Corleone, Tom
174	# For me, well, I wouldn't holler if he were as handsome as anything	Untuk diriku, ku takkan banyak kata. Jika dia kacak lagi tampan
175	I wanted to explain, but I had business in Carson City	Aku mahu jelaskan, tapi aku ada urusan di Carson City
176	Not with this Sicilian thing that's been going on for 2,000	Tak dengan masalah Sisilia yang dah berlangsung selama 2.000
177	# But my father and my mother said we'd learn to love each other	Tetapi ayah dan ibuku Katanya kita akan belajar mencintai satu sama lain
178	I don't believe that President Eisenhower would ever pull out of Cuba as we have over one billion dollars invested in this country	Aku tak percaya Presiden Eisenhower akan menarik diri dari Kuba di bila kita melabur sebanyak 1 juta di negara ini
179	You were the only man outside the palace	Hanya kau seorang yg berada di luar istana
180	And there isn't even a plaque, signpost or statue of him in that town	Tak ada piagam, tanda penunjuk jalan atau patung dirinya di kota itu
181	They made her drink whiskey and then they tried to take advantage of her	Mereka buat anak aku minum wiski lalu mereka cuba memanfaatkannya
182	Near where you claim you landed from that planet of yours	Di dekat lokasi yang katamu adalah tempat mendarat dari planet asalmu
183	Keep moving, my dogs can eat and run at the same time	Cepat bergerak,anjing saya ini boleh berjalan dan makan pada masa yang sama
184	I have here in my hand a check made out to the university and it is a magnificent endowment in the name of	Di tangan aku terdapat cek untuk disumbangkan ke universiti satu sumbangan yang luar biasa atas nama
185	As soon as I can, I will send for her and marry her	Sebaik sahaja saya boleh, saya akan jemput dia dan kahwini dia
186	I could have killed'em all. I could have killed you	Saya boleh bunuh mereka semua dan juga awak
187	# With our daughters getting married and this trouble in the town	Anak kita nak berkahwin Dengan masalah di bandar
188	Almira Gulch, just because you own half the county doesn't mean you have the power to run the rest of us	Almira Gulch, jangan hanya kerana kau memiliki separuh desa ini kau sewenang2 dengan kami
189	Why don't you take the kids back to their room	Kay, kenapa tak bawa anak-anak ke bilik mereka
190	If they ever come here, I'll do to them what I do to the fish	Kalau mereka datang, Aku akan lakukan untuk mereka apa yang saya lakukan untuk ikan
191	I live in an army barracks with the FBI guys	Aku tinggal di barak tentera dengan orang-orang FBI ini
192	May they live together to a ripe old age	Moga mereka hidup bersama sehingga ke hari tua
193	I'm getting a real drink, because I can't	Aku mahu ambil minuman sebenar, kerana aku tak boleh
194	Tevye If my grandmother Tzeitel, may she rest in peace, took the trouble to come from the other world to tell us about the tailor, all I can say is that it's for the best and couldn't possibly be any better	Tevye, Tevye, nenek saya Tzeitel, moga dia bersemadi dengan aman, bersusah payah datang dari alam lain untuk beritahu kita tentang tukang jahit
195	I've wanted to ask you for a while, but first I wanted to get my own sewing machine	Dah lama saya nak beritahu, Reb Tevye, tetapi saya mahu menyimpan wang dulu untuk beli mesin jahit. - Jadi kami ada
196	And who, my child, will there be to perform a marriage in the wilderness	Dan siapa pula, anakku, ada disana untuk jalankan majlis perkahwinan di gurun sana
197	It is scientific heresy that is being tried here	Ini adalah pembohongan saintifik yang sedang diuji di tempat ini
198	On the other hand, things could never get worse for him, only better	Sementara itu, perkara takkan menjadi lebih buruk bagi dia
199	Uncle Henry, Auntie Em, don't let them take Toto	pakcik Henry, makcik Em, jangan biarkan Toto dibawa
200	You may find this very amusing, but the members of this committee do not	Mungkin ini sangat kelakar bagi kau, tapi itu tak bagi anggota jawatankuasa ini
201	# And it won't make one bit of difference if I answer right or wrong	Tak ada bezanya kalau aku cakap betul atau salah
202	Lester, tell Paul to get out to the lumber camp to get the helicopter up here	Lester, beritahu Paul dia supaya dapatkan helikopter penebang
203	Yes, sir, but but this creature is a special case	Ya, Pak, tapi makhluk ini adalah kes yang istimewa
204	He says he doesn't know anything, and I believe him	Dia cakap bahawa dia tak tahu apa-apa, dan aku percaya
205	Put your hand in your pocket, Iike you have a gun	Masukkan tangan kau ke dalam saku seolah kau punya pistol. Kau akan okey
206	But up there, in the face of that cliff, there is a vast cave, and in that cave a fabulous treasure of fossils and artifacts	Tapi di atas tebing itu, ada sebuah gua besar dan di dalam gua itu, ada fosil dan artifak berharga
207	He's not on the list, but Luca Brasi wants to see you	Dia memang tak ada di daftar, tapi Luca Brasi mahu jumpa kau
208	You've shot them both. Now what do you do	Setelah tembak mereka berdua, apa yang kau buat
209	Your oldest boy was picked up in Reno for a theft you don't even know about	Anak sulung kau ditangkap di Reno kerana pencurian yang tak kau ketahui
210	You do all right when it comes to getting space and equipment	Kau melakukan semuanya dengan benar bila dapatkan tempat dan peralatan
211	What we'll do in the next few months will make history	Apa yang akan kita lakukan dalam beberapa bulan ke depan akan jadi sejarah
212	On the other hand, can I deny my own daughter	Tetapi pula, bolehkah aku nafikan anak aku sendiri
213	Throw in some tomatoes, tomato paste, fry it and make sure it doesn't stick	Lalu campurkan tomato, pasta tomato, digoreng dan pastikan jangan lengket
214	Do you acknowledge kinship with any of these creatures	Apa kau mengakui bahawa ada hubungan keluarga dengan makhluk-makhluk ini
215	When you've lived a full life and experienced all it has to offer	Bila kau telah menjalani hidup dengan sepenuhnya Dan mengalami semua yang ditawarkan
216	I know you don't like to talk about it but don't you ever wonder what really happened	Aku tahu kau tak suka bicara tentang itu, tapi Jangan kau pernah bertanya--tanya apa yang sebenarnya berlaku
217	Well, Anatevka hasn't exactly been the Garden of Eden. That's true	Nampaknya, Anatevka bukanlah taman Eden (tempat tinggal yang tetap
218	But you'll see with multiplication it's a little bit different	Tetapi anda akan melihat dengan pendaraban ia sedikit berbeza
219	And we get on the lefthand side 2x plus 7 minus 7 is just 2x. Is greater than 3 minus 7 which is negative 4	Ianya lebih besar dari 3 tolak 7 iaitu -4
220	These first two terms are 0, you're just left with a negative 2	Dua terma pertama ini adalah 0, anda hanya tinggal -2
221	A body 'as to move gentle an' speak low when wild things is about	Suatu pertubuhan untuk bergerak lembut 'bercakap rendah apabila perkara liar kira-kira
222	And if we wanted to solve for x, and I'll just do that, because it'll be convenient later, we can multiply both sides of this equation by A and you get A sine of beta is equal to x	Dan kalau kita hendak menyelesaikan x kita boleh mendarab kedua-dua sisi persamaan ini dengan A, dan kau dapat A sinus beta bersamaan dengan x
223	Their slopes are going to be the negative inverse of each other	Lerengnya akan menjadi negatif songsang antara satu sama lain
224	"If you had one, said Mary, ""what would you plant"	"Jika anda mempunyai satu, kata Mary, ""apa yang anda akan menanam"
225	I wonder what the world is doing now	Saya tertanya-tanya apa yang dilakukan oleh dunia sekarang
226	With the advantage that it's kind of nice and compartmentalized, it doesn't take up a lot of space	Dengan kelebihan yang jenis daripada bagus dan menjimatkan ruang, ia tidak mengambil banyak ruang
227	Eh! you should see 'em all, she said	Eh! anda akan dapat melihat 'em semua, katanya
228	The Concord hunter told him what he knew and offered him the skin; but the other declined it and departed	Pemburu Concord memberitahunya apa yang dia tahu dan menawarkan kepadanya kulit, tetapi yang lain merosot dan bertolak
229	Mary made the long voyage to England under the care of an officer's wife, who was taking her children to leave them in a boarding-school	Mary membuat pelayaran yang panjang ke England di bawah jagaan isteri seseorang pegawai yang telah mengambil anak-anaknya untuk meninggalkan mereka di sekolah berasrama penuh
230	Let's subtract, get a 1, bring down the 0	Kita buat penolakan, dapat 1, dan turunkan 0
